Encoding,ptb,de,eu,fr,he,hu,ko,pl,sv,macro avg
absolute,95.12,91.85,95.03,87.08,92.56,86.80,88.12,96.59,90.80,91.56
absolute_binaryright,94.01,88.06,94.26,85.06,92.12,85.68,87.62,96.22,90.55,90.40
absolute_binaryleft,94.15,86.61,94.30,88.61,93.16,85.15,89.21,96.33,90.32,90.87
absolute_incremental,95.15,92.72,95.13,86.68,92.03,86.12,92.66,96.70,91.61,92.09
relative,94.99,92.56,93.27,87.10,92.72,88.15,87.21,96.91,89.15,91.34
relative_binaryright,94.12,88.42,93.82,84.92,92.89,86.61,86.61,96.12,89.04,90.28
relative_binaryleft,92.11,86.94,90.13,86.01,93.10,87.70,89.95,96.95,88.12,90.11
relative_incremental,95.28,92.84,93.93,87.02,92.70,88.98,91.03,97.18,89.33,92.03
dynamic,95.54,92.16,94.78,87.36,93.88,90.03,87.60,97.35,88.85,91.95
dynamic_binaryright,94.92,89.89,94.02,85.12,92.65,89.65,85.13,97.21,88.65,90.80
dynamic_binaryleft,93.02,87.94,92.33,87.13,93.32,89.35,89.35,97.30,88.33,90.90
dynamic_incremental,95.14,92.12,94.61,87.21,93.82,89.05,91.28,97.31,89.26,92.20
lde,95.14,93.11,94.50,87.86,93.74,88.62,89.66,97.72,90.62,92.33
lde_incremental,93.41,91.63,91.33,82.11,90.10,86.78,89.97,96.03,89.13,90.05
rde,93.01,92.01,92.16,86.65,92.87,88.56,87.87,95.33,90.13,90.95
rde_incremental,91.56,88.23,90.15,84.43,90.24,86.03,87.24,95.71,88.11,89.07
tetratag,94.68,93.16,94.53,85.34,89.16,90.12,91.01,97.43,91.15,91.84
attachjuxtapose,95.79,92.38,94.66,87.87,92.09,89.96,90.02,97.21,89.12,92.12
attachjuxtapose_binaryright,94.92,90.88,94.00,84.87,91.12,86.54,88.96,96.38,87.76,90.60
attachjuxtapose_binaryleft,94.44,88.67,94.75,86.69,91.25,86.96,88.13,96.67,88.31,90.65
